Test,Vertices,Edge Probability,filename
0,5,0.18287415632034199,"6/test_v(5)_p([0.02, 0.4])_no(0).txt"
1,5,0.03125510661196766,"6/test_v(5)_p([0.02, 0.4])_no(1).txt"
2,5,0.2154785825556504,"6/test_v(5)_p([0.02, 0.4])_no(2).txt"
3,5,0.1721476577083472,"6/test_v(5)_p([0.02, 0.4])_no(3).txt"
4,5,0.2938923735365322,"6/test_v(5)_p([0.02, 0.4])_no(4).txt"
5,5,0.18435961391714492,"6/test_v(5)_p([0.02, 0.4])_no(5).txt"
6,5,0.3337582375623231,"6/test_v(5)_p([0.02, 0.4])_no(6).txt"
7,5,0.3381537023035446,"6/test_v(5)_p([0.02, 0.4])_no(7).txt"
8,5,0.15626407323711114,"6/test_v(5)_p([0.02, 0.4])_no(8).txt"
9,5,0.09631927177776285,"6/test_v(5)_p([0.02, 0.4])_no(9).txt"
10,5,0.355548155653037,"6/test_v(5)_p([0.02, 0.4])_no(10).txt"
11,5,0.28002051509753806,"6/test_v(5)_p([0.02, 0.4])_no(11).txt"
12,5,0.20711045507228804,"6/test_v(5)_p([0.02, 0.4])_no(12).txt"
13,5,0.1375746936412392,"6/test_v(5)_p([0.02, 0.4])_no(13).txt"
14,5,0.027589425760174608,"6/test_v(5)_p([0.02, 0.4])_no(14).txt"
15,5,0.10039357327990713,"6/test_v(5)_p([0.02, 0.4])_no(15).txt"
16,5,0.15554056457541007,"6/test_v(5)_p([0.02, 0.4])_no(16).txt"
17,5,0.11135722612991253,"6/test_v(5)_p([0.02, 0.4])_no(17).txt"
18,5,0.35868962122380976,"6/test_v(5)_p([0.02, 0.4])_no(18).txt"
19,5,0.3075048025764998,"6/test_v(5)_p([0.02, 0.4])_no(19).txt"
20,5,0.044400150121456664,"6/test_v(5)_p([0.02, 0.4])_no(20).txt"
21,5,0.3768341530049176,"6/test_v(5)_p([0.02, 0.4])_no(21).txt"
22,5,0.31818563742627,"6/test_v(5)_p([0.02, 0.4])_no(22).txt"
23,5,0.2754154283658299,"6/test_v(5)_p([0.02, 0.4])_no(23).txt"
24,5,0.2235593105253605,"6/test_v(5)_p([0.02, 0.4])_no(24).txt"
25,5,0.29489300548095365,"6/test_v(5)_p([0.02, 0.4])_no(25).txt"
26,5,0.28560514790281205,"6/test_v(5)_p([0.02, 0.4])_no(26).txt"
27,5,0.2338724858316206,"6/test_v(5)_p([0.02, 0.4])_no(27).txt"
28,5,0.3973464568347683,"6/test_v(5)_p([0.02, 0.4])_no(28).txt"
29,5,0.2783928499560511,"6/test_v(5)_p([0.02, 0.4])_no(29).txt"
30,5,0.10386227601452801,"6/test_v(5)_p([0.02, 0.4])_no(30).txt"
31,5,0.2710871212886584,"6/test_v(5)_p([0.02, 0.4])_no(31).txt"
32,5,0.1424427632133601,"6/test_v(5)_p([0.02, 0.4])_no(32).txt"
33,5,0.13345893608507764,"6/test_v(5)_p([0.02, 0.4])_no(33).txt"
34,5,0.07395471060088216,"6/test_v(5)_p([0.02, 0.4])_no(34).txt"
35,5,0.3178149551063625,"6/test_v(5)_p([0.02, 0.4])_no(35).txt"
36,5,0.07744332800160783,"6/test_v(5)_p([0.02, 0.4])_no(36).txt"
37,5,0.21100319809642287,"6/test_v(5)_p([0.02, 0.4])_no(37).txt"
38,5,0.0834613793666645,"6/test_v(5)_p([0.02, 0.4])_no(38).txt"
39,5,0.07903073424655832,"6/test_v(5)_p([0.02, 0.4])_no(39).txt"
40,5,0.040707280927045335,"6/test_v(5)_p([0.02, 0.4])_no(40).txt"
41,5,0.026503174395783455,"6/test_v(5)_p([0.02, 0.4])_no(41).txt"
42,5,0.31992544712641224,"6/test_v(5)_p([0.02, 0.4])_no(42).txt"
43,5,0.23235858569899914,"6/test_v(5)_p([0.02, 0.4])_no(43).txt"
44,5,0.39577180566583614,"6/test_v(5)_p([0.02, 0.4])_no(44).txt"
45,5,0.3456053499772497,"6/test_v(5)_p([0.02, 0.4])_no(45).txt"
46,5,0.3757283191384022,"6/test_v(5)_p([0.02, 0.4])_no(46).txt"
47,5,0.33342753058054153,"6/test_v(5)_p([0.02, 0.4])_no(47).txt"
48,5,0.2989618843917593,"6/test_v(5)_p([0.02, 0.4])_no(48).txt"
49,5,0.3191350301911485,"6/test_v(5)_p([0.02, 0.4])_no(49).txt"
0,15,0.39673129180954114,"6/test_v(15)_p([0.02, 0.4])_no(0).txt"
1,15,0.15343089432301482,"6/test_v(15)_p([0.02, 0.4])_no(1).txt"
2,15,0.3505061016336286,"6/test_v(15)_p([0.02, 0.4])_no(2).txt"
3,15,0.21358442471578779,"6/test_v(15)_p([0.02, 0.4])_no(3).txt"
4,15,0.10974396096487668,"6/test_v(15)_p([0.02, 0.4])_no(4).txt"
5,15,0.29055371839594885,"6/test_v(15)_p([0.02, 0.4])_no(5).txt"
6,15,0.11463646687456631,"6/test_v(15)_p([0.02, 0.4])_no(6).txt"
7,15,0.04112261168243865,"6/test_v(15)_p([0.02, 0.4])_no(7).txt"
8,15,0.3311236586311544,"6/test_v(15)_p([0.02, 0.4])_no(8).txt"
9,15,0.05600463455873601,"6/test_v(15)_p([0.02, 0.4])_no(9).txt"
10,15,0.2232971181841555,"6/test_v(15)_p([0.02, 0.4])_no(10).txt"
11,15,0.10259193796464977,"6/test_v(15)_p([0.02, 0.4])_no(11).txt"
12,15,0.32254578141622303,"6/test_v(15)_p([0.02, 0.4])_no(12).txt"
13,15,0.22402365899077142,"6/test_v(15)_p([0.02, 0.4])_no(13).txt"
14,15,0.06643253961687692,"6/test_v(15)_p([0.02, 0.4])_no(14).txt"
15,15,0.3767345402231798,"6/test_v(15)_p([0.02, 0.4])_no(15).txt"
16,15,0.09871229501100819,"6/test_v(15)_p([0.02, 0.4])_no(16).txt"
17,15,0.37253907480797105,"6/test_v(15)_p([0.02, 0.4])_no(17).txt"
18,15,0.35241782526629034,"6/test_v(15)_p([0.02, 0.4])_no(18).txt"
19,15,0.3150220713813162,"6/test_v(15)_p([0.02, 0.4])_no(19).txt"
20,15,0.2132211799790983,"6/test_v(15)_p([0.02, 0.4])_no(20).txt"
21,15,0.09130456965330234,"6/test_v(15)_p([0.02, 0.4])_no(21).txt"
22,15,0.1624836704479405,"6/test_v(15)_p([0.02, 0.4])_no(22).txt"
23,15,0.3626958409881275,"6/test_v(15)_p([0.02, 0.4])_no(23).txt"
24,15,0.1298396396253396,"6/test_v(15)_p([0.02, 0.4])_no(24).txt"
25,15,0.140216347866451,"6/test_v(15)_p([0.02, 0.4])_no(25).txt"
26,15,0.12059836658765624,"6/test_v(15)_p([0.02, 0.4])_no(26).txt"
27,15,0.30098301979349096,"6/test_v(15)_p([0.02, 0.4])_no(27).txt"
28,15,0.3067987108042924,"6/test_v(15)_p([0.02, 0.4])_no(28).txt"
29,15,0.3053483506565058,"6/test_v(15)_p([0.02, 0.4])_no(29).txt"
30,15,0.1434055683552332,"6/test_v(15)_p([0.02, 0.4])_no(30).txt"
31,15,0.032308363577457075,"6/test_v(15)_p([0.02, 0.4])_no(31).txt"
32,15,0.334380602042387,"6/test_v(15)_p([0.02, 0.4])_no(32).txt"
