Test,Vertices,filename,Brute Force,Brute Force Time,Heuristic,Heuristic Time
0,5,"7/test_v(5)_p([0.02, 0.6])_no(0).txt",2,1.7881393432617188e-05,2,4.696846008300781e-05
1,5,"7/test_v(5)_p([0.02, 0.6])_no(1).txt",2,1.2636184692382812e-05,1,3.314018249511719e-05
2,5,"7/test_v(5)_p([0.02, 0.6])_no(2).txt",2,1.1920928955078125e-05,2,3.886222839355469e-05
3,5,"7/test_v(5)_p([0.02, 0.6])_no(3).txt",3,1.1920928955078125e-05,2,3.0994415283203125e-05
4,5,"7/test_v(5)_p([0.02, 0.6])_no(4).txt",2,2.002716064453125e-05,2,3.910064697265625e-05
5,5,"7/test_v(5)_p([0.02, 0.6])_no(5).txt",2,1.1920928955078125e-05,2,3.3855438232421875e-05
6,5,"7/test_v(5)_p([0.02, 0.6])_no(6).txt",3,1.1920928955078125e-05,3,3.3855438232421875e-05
7,5,"7/test_v(5)_p([0.02, 0.6])_no(7).txt",3,1.2874603271484375e-05,3,3.504753112792969e-05
8,5,"7/test_v(5)_p([0.02, 0.6])_no(8).txt",2,1.0013580322265625e-05,2,3.409385681152344e-05
9,5,"7/test_v(5)_p([0.02, 0.6])_no(9).txt",1,8.821487426757812e-06,1,3.2901763916015625e-05
10,5,"7/test_v(5)_p([0.02, 0.6])_no(10).txt",1,9.059906005859375e-06,1,3.409385681152344e-05
11,5,"7/test_v(5)_p([0.02, 0.6])_no(11).txt",3,1.2159347534179688e-05,3,3.314018249511719e-05
12,5,"7/test_v(5)_p([0.02, 0.6])_no(12).txt",2,1.0013580322265625e-05,2,3.314018249511719e-05
13,5,"7/test_v(5)_p([0.02, 0.6])_no(13).txt",2,1.0967254638671875e-05,2,3.2901763916015625e-05
14,5,"7/test_v(5)_p([0.02, 0.6])_no(14).txt",2,1.0967254638671875e-05,2,3.218650817871094e-05
15,5,"7/test_v(5)_p([0.02, 0.6])_no(15).txt",3,1.1920928955078125e-05,3,3.1948089599609375e-05
16,5,"7/test_v(5)_p([0.02, 0.6])_no(16).txt",3,1.1920928955078125e-05,3,3.0994415283203125e-05
17,5,"7/test_v(5)_p([0.02, 0.6])_no(17).txt",3,1.2874603271484375e-05,3,3.0040740966796875e-05
