Sample Number,Vertices,Edge Probability,time,Independent Set Size
1.0,47.0,0.4489198393046263,0.04419517517089844,4.0
2.0,16.0,0.1277219546423253,0.00028014183044433594,6.0
3.0,38.0,0.02333418907264731,0.0011827945709228516,16.0
4.0,32.0,0.5164905327655681,0.004831075668334961,3.0
5.0,45.0,0.2614761495509698,0.008687734603881836,5.0
6.0,20.0,0.2577447812365603,0.0005948543548583984,5.0
7.0,10.0,0.4634896964489612,0.00013899803161621094,3.0
8.0,6.0,0.20707924434581076,4.315376281738281e-05,2.0
9.0,14.0,0.39463197443638015,0.00029587745666503906,3.0
10.0,21.0,0.21009455773423474,0.0006988048553466797,6.0
11.0,38.0,0.5279775372642962,0.010027885437011719,3.0
12.0,35.0,0.04343570133100621,0.0011267662048339844,11.0
13.0,45.0,0.42705654360310186,0.01353597640991211,4.0
14.0,45.0,0.5112513829472638,0.016649961471557617,3.0
15.0,30.0,0.1021180999399669,0.0009636878967285156,9.0
16.0,44.0,0.2850504997224717,0.008919000625610352,6.0
17.0,21.0,0.22442792410521206,0.0006515979766845703,6.0
18.0,34.0,0.26138163752980437,0.003509044647216797,6.0
19.0,6.0,0.18159012617572565,4.506111145019531e-05,3.0
20.0,27.0,0.2747698879571745,0.0015082359313964844,5.0
